,CompanyName,Location,Experience,Job Title,Education,Salary,Job Posted,Key Skill,Preferred Skills,Application URL
12,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Senior Vice President - Analytics - Data Science Team - Insurance,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['machine', 'Hadoop', 'artificial intelligence', 'Spark', 'data', 'intelligence', 'Data Science', 'data management']",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-insurance-huquo-consulting-gurgaon-gurugram-8-to-13-years-310123912868
13,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Sr. Vice President - Analytics - Data Science Team - Insurance -  IIT,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['machine learning', 'Data Management', 'science', 'management', 'data', 'python', 'Data Science', 'Artificial Intelligence']",https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-team-insurance-iit-huquo-consulting-gurgaon-gurugram-8-to-13-years-310123912755
14,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Sr VP - Analytics - Data Science Team - Insurance -  IIT/IIM/XLRI/NIT,",UG :B.A in Economics, Maths, B.Sc in Maths, Computers, BCA in Computers, B.Tech/B.E. in Computers,PG :M.A in Maths, Economics, MS/M.Sc(Science) in Maths, Computers, MCA in Computers, MBA/PGDM in Any Specialization, M.Tech in Computers,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['machine learning', 'insurance', 'data analytics', 'sql', 'intelligence', 'Data Science', 'Data Engineering', 'Artificial Intelligence']",https://www.naukri.com/job-listings-sr-vp-analytics-data-science-team-insurance-iit-iim-xlri-nit-huquo-consulting-gurgaon-gurugram-8-to-13-years-310123909906
15,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Sr.Vice President-Analytics ( Data Science)-IIT/IIM/XLRI/NIT,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['analytics', 'machine learning', 'bfsi', 'management', 'sql', 'python', 'consulting', 'Data Science']",https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-iit-iim-xlri-nit-huquo-consulting-gurgaon-gurugram-8-to-13-years-310123909770
16,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Sr.Vice President-Analytics ( Data Science)-IIT/IIM/XLRI/NIT,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['machine', 'analytics', 'Data Science', 'machine learning', 'science', 'data', 'intelligence', 'artificial intelligence']",https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-iit-iim-xlri-nit-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323908155
17,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Sr VP - Analytics - Data Science Team - Insurance -  IIT/IIM/XLRI/NIT,",UG :B.Tech/B.E. in Computers, B.Sc in Maths, Computers, B.A in Economics, Maths, BCA in Computers,PG :MCA in Computers, M.Tech in Computers, MBA/PGDM in Any Specialization, M.A in Maths, Economics, MS/M.Sc(Science) in Maths, Computers,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['statistics', 'insurance', 'analysis', 'team', 'intelligence', 'Data Science', 'Data Engineering', 'Artificial Intelligence']",https://www.naukri.com/job-listings-sr-vp-analytics-data-science-team-insurance-iit-iim-xlri-nit-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323907944
18,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Senior Vice President - Analytics - Data Science Team - IIT / IIM,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Analytics,"['hadoop', 'machine', 'Analytics', 'data', 'sql', 'artificial intelligence', 'data management', 'data science']",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-iit-iim-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323906956
19,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Sr Vice President- Analytics- Data Science Team- Insurance,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['machine learning', 'bfsi', 'data management', 'insurance', 'data analytics', 'Data Science', 'Artificial Intelligence', 'Consulting - BFSI']",https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-team-insurance-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323906207
20,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Senior Vice President - Analytics - Data Science Team - Insurance,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['statistics', 'analytics', 'Hadoop', 'insurance', 'artificial intelligence', 'Spark', 'data', 'Data Science']",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-insurance-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323906116
21,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Senior Vice President- Analytics- Data Science Team-Insurance- IIT/IIM,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['analytics', 'machine learning', 'science', 'management', 'data', 'python', 'Data Science', 'data management']",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-insurance-iit-iim-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323906015
